id,monkey_id,iop,icp,torch_present,scan_shape,constructed_filepath,training,oct_present,tiff_present,original scan folder (OCT),original scan folder (tiff),original scan file,scan date,scan time,eyeball (od or os),scan area,scan notes,handler,eric notes,exists
1,1,15,8.5,FALSE,,,FALSE,FALSE,FALSE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,baseline,9,04/25/2013,11:43,OS,5x5,,zixiao,,FALSE
2,1,15,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg/1.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/15mmHg,1,04/25/2013,11:45,OS,5x5,,zixiao,,TRUE
3,1,15,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/15mmHg,2,04/25/2013,11:46,OS,5x5,good image,zixiao,,TRUE
4,1,15,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/15mmHg,3,04/25/2013,11:50,OS,3x3,,zixiao,,TRUE
5,1,15,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/15mmHg,4,04/25/2013,11:51,OS,3x3,centered,zixiao,,TRUE
6,1,15,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/15mmHg,5,04/25/2013,11:53,OS,3x3,good,zixiao,,TRUE
7,1,15,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg/6.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/15mmHg,6,04/25/2013,11:54,OS,3x3,,zixiao,,TRUE
8,1,5,8.5,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/5mmHg,1,04/25/2013,12:13,OS,3x3,"bad quality, poor focus EDI",zixiao,,FALSE
9,1,5,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/5mmHg,2,04/25/2013,12:15,OS,3x3,not EDI,zixiao,,TRUE
10,1,5,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/5mmHg,3,04/25/2013,12:17,OS,3x3,not EDI,zixiao,,TRUE
